Spanish Idiom,Literal English Translation,English (Translation),idiom embedded in a sentence (Spanish), Idiom embedded in a sentence (English),,,,,,,,,,,,
Ser un caracol,To be a snail,To be very slow,"Siempre llega tarde a sus citas, es un caracol haciendo todo.","He's always late for his appointments, he's very slow at doing everything. ",,,,,,,,,,,,"Siempre llega tarde a sus citas, es un caracol haciendo todo."
Esto es cosa de dos,This is a thing of two,It takes two to tango,"El amor es cosa de dos, y si ustedes se gustan yo no los voy a detener.","Love takes two to tango, and if you two like each other, I won't stop you.",,,,,,,,,,,,"El amor es cosa de dos, y si ustedes se gustan yo no los voy a detener."
"Donde comen dos, comen tres","Where two eat, three eat",There’s always room for one more,"No te preocupes por quedarte a cenar, donde comen dos, comen tres.","Don't worry about staying for dinner, there is always room for more.",,,,,,,,,,,,"No te preocupes por quedarte a cenar, donde comen dos, comen tres."
"No por mucho madrugar, amanece más temprano","Not by getting up very early, it dawns earlier",Getting up early doesn’t make the sun rise sooner,"No te agobies trabajando toda la noche, no por mucho madrugar amanece más temprano.","Don't overwhelm yourself by working all night, getting up early doesn’t make the sun rise sooner.",,,,,,,,,,,,"No te agobies trabajando toda la noche, no por mucho madrugar amanece más temprano."
¡De ninguna manera!,Of no way!,No way!,¿Cancelar nuestras vacaciones? ¡De ninguna manera!,Cancel our vacation? No way! ,,,,,,,,,,,,¿Cancelar nuestras vacaciones? ¡De ninguna manera!
Irse por las ramas,To go by the bushes,To beat around the bush,"Cuando le pregunté por el dinero, se fue por las ramas y nunca dio una respuesta clara.","When I asked him about the money, he beat around the bush and never gave a clear answer. ",,,,,,,,,,,,"Cuando le pregunté por el dinero, se fue por las ramas y nunca dio una respuesta clara."
Así es la vida,Thus is life,That’s life,"Me hubiera gustado ganar, pero perdí. Así es la vida.","I would have liked to win, but I lost. That's life. ",,,,,,,,,,,,"Me hubiera gustado ganar, pero perdí. Así es la vida."
No buscarle pulgas al perro,Don’t look for flees on the dog,Let sleeping dogs lie,"No empieces a buscar problemas donde no los hay, no le busques pulgas al perro.","Don't start looking for problems where there aren't any, let sleeping dogs lie.",,,,,,,,,,,,"No empieces a buscar problemas donde no los hay, no le busques pulgas al perro."
Hacer borrón y cuenta nueva,Do the big erase and new account,Wipe the slate clean,Decidimos dejar atrás los problemas y hacer borrón y cuenta nueva en nuestra amistad.,We decided to leave the problems behind and wipe the slate clean in our friendship. ,,,,,,,,,,,,Decidimos dejar atrás los problemas y hacer borrón y cuenta nueva en nuestra amistad.
Ahogar las penas,To drown the miseries,To drown ones sorrows,"Después de la ruptura, fue al bar a ahogar las penas con alcohol.","After the breakup, he went to the bar to drown his sorrows with alcohol. ",,,,,,,,,,,,"Después de la ruptura, fue al bar a ahogar las penas con alcohol."
Todo a su debido tiempo,All in its due time,All in good time,"Quiero que nuestra relación avance a la siguiente etapa, pero todo a su debido tiempo.","I want our relationship to move to the next stage, but all in due time. ",,,,,,,,,,,,"Quiero que nuestra relación avance a la siguiente etapa, pero todo a su debido tiempo."
Estar frito,To be fried,To be sleeping,"Después de trabajar doce horas seguidas, estaba frito.","After working twelve hours straight, he was tired. ",,,,,,,,,,,,"Después de trabajar doce horas seguidas, estaba frito."
Ligarse a alguien,To link to someone,To hook up/ pick up someone,"En la fiesta, intentó ligarse a alguien con su nuevo look.","At the party, she tried to hook up with someone with her new look. ",,,,,,,,,,,,"En la fiesta, intentó ligarse a alguien con su nuevo look."
Cuenta conmigo,Count with me,Count me in,"Si necesitas ayuda con la mudanza, cuenta conmigo.","If you need help with the move, please count me in. ",,,,,,,,,,,,"Si necesitas ayuda con la mudanza, cuenta conmigo."
Dar en el clavo,To give (hit) in the nail,Hit the nail on the head,"Cuando sugirió cambiar la estrategia de marketing, realmente dio en el clavo.","When he suggested changing the marketing strategy, he really hit the nail on the head. ",,,,,,,,,,,,"Cuando sugirió cambiar la estrategia de marketing, realmente dio en el clavo."
Ya estamos otra vez,already we are again,Here we go again,"Comenzó a llover justo cuando salimos, ya estamos otra vez.","It started raining just as we left, here we go again. ",,,,,,,,,,,,"Comenzó a llover justo cuando salimos, ya estamos otra vez."
Hacer puente,Do the bridge,Take a long holiday weekend,"El martes es festivo, así que vamos a hacer puente y no volveremos al trabajo hasta el miércoles.","Tuesday is a public holiday, so we're going to have a long weekend and won't get back to work until Wednesday. ",,,,,,,,,,,,"El martes es festivo, así que vamos a hacer puente y no volveremos al trabajo hasta el miércoles."
Dar alguien con la puerta en las narices,To give someone with the door in the noses,To slam the door in someone’s face,"Fui a comprar entradas, pero cerraron justo antes de que llegara y me dieron con la puerta en las narices.","I went to buy tickets, but they closed just before I arrived and the door was slammed in my face. ",,,,,,,,,,,,"Fui a comprar entradas, pero cerraron justo antes de que llegara y me dieron con la puerta en las narices."
Mala hierba nunca muere,Bad grass never dies,The bad ones never die,"A pesar de sus constantes fracasos, siempre se las arregla para volver: mala hierba nunca muere.","Despite his constant failures, he always manages to come back: bad ones never die.",,,,,,,,,,,,"A pesar de sus constantes fracasos, siempre se las arregla para volver: mala hierba nunca muere."
"A buen hambre, no hay pan duro.",To good hunger there is no hard bread.estar,Beggars can’t be choosers.,"Después de trabajar todo el día sin comer, a buen hambre no hay pan duro; este pan viejo sabe delicioso.","After working all day without eating, beggars can’t be choosers; this old bread tastes delicious. ",,,,,,,,,,,,"Después de trabajar todo el día sin comer, a buen hambre no hay pan duro; este pan viejo sabe delicioso."
como una sopa or estar hecho una sopa,to be like a soup,to be soaked to the bone,"Con esta tormenta, llegué a casa hecho una sopa.","With this storm, I got home soaked to the bone. ",,,,,,,,,,,,"Con esta tormenta, llegué a casa hecho una sopa."
estar como un fideo,to be like a noodle,to be thin as a rail,Ha perdido tanto peso que está como un fideo.,He's lost so much weight that he's thin as a rail. ,,,,,,,,,,,,Ha perdido tanto peso que está como un fideo.
estar como un queso,to be like a cheese,to be hot (sexually attractive),"Después de meses en el gimnasio, está como un queso.","After months in the gym, he’s very hot. ",,,,,,,,,,,,"Después de meses en el gimnasio, está como un queso."
no importar un pepino,to not give a cucumber,to not care at all,No me importa un pepino.,I don't give a damn. ,,,,,,,,,,,,No me importa un pepino.
ponerse como un tomate,to turn into a tomato,to blush,Se puso como un tomate cuando olvidó las líneas en la obra.,He turned into a tomato when he forgot the lines on the play. ,,,,,,,,,,,,Se puso como un tomate cuando olvidó las líneas en la obra.
ser del año de la pera,to be from the year of the pear,to be ancient/to be out of fashion,¡Tu móvil es del año de la pera!,Your phone is ancient! ,,,,,,,,,,,,¡Tu móvil es del año de la pera!
ser pan comido,to be eaten bread,to be a piece of cake,No te preocupes por ese examen; será pan comido para ti.,Don't worry about that exam; it will be a piece of cake for you. ,,,,,,,,,,,,No te preocupes por ese examen; será pan comido para ti.
acostarse con las gallinas,to sleep with the chickens,to go to sleep early,Dudo que estén despiertos aún. Se acuestan con las gallinas.,I doubt they're awake yet. They go to sleep early. ,,,,,,,,,,,,Dudo que estén despiertos aún. Se acuestan con las gallinas.
"A perro flaco, todo son pulgas.","To a skinny dog, everything is fleas.",When it rains it pours.,"Desde que perdió el empleo, le han surgido problemas de todos lados; a perro flaco, todo son pulgas.","Since he lost his job, he's had problems all over the place; when it rains it pours.",,,,,,,,,,,,"Desde que perdió el empleo, le han surgido problemas de todos lados; a perro flaco, todo son pulgas."
dar gato por liebre,to give a cat instead of a hare,to rip off/to take for a ride,El vendedor de coches intentó darme gato por liebre.,The car salesman tried to rip me off. ,,,,,,,,,,,,El vendedor de coches intentó darme gato por liebre.
estar en la edad del pavo,to be in the turkey’s age,to be at that difficult/awkward age,Mi hijo no hace más que quejarse y rebelarse; definitivamente está en la edad del pavo.,My son does nothing but complain and rebel; he's definitely at a difficult age.,,,,,,,,,,,,Mi hijo no hace más que quejarse y rebelarse; definitivamente está en la edad del pavo.
¿Se te ha comido la lengua el gato? or ¿Te han comido la lengua los ratones?,Has the cat eaten your tongue? or Have mice eaten your tongue?,Cat got your tongue? (Used to ask someone why he or she is not saying anything.),"Estás muy callado hoy, ¿se te ha comido la lengua el gato?","You're very quiet today, has the cat eaten your tongue? ",,,,,,,,,,,,"Estás muy callado hoy, ¿se te ha comido la lengua el gato?"
costar un ojo de la cara,to cost an eye from the face,to cost an arm and a leg,"Esa computadora nueva me costó un ojo de la cara, pero es de última generación.","That new computer cost me an arm and a leg, but it's state-of-the-art. ",,,,,,,,,,,,"Esa computadora nueva me costó un ojo de la cara, pero es de última generación."
estar hasta las narices,to be up to the noses,to be fed up,Estoy hasta las narices de tus quejas.,I'm fed up with your complaints. ,,,,,,,,,,,,Estoy hasta las narices de tus quejas.
hablar hasta por los codos,to talk even through your elbows,to be a chatterbox/to talk up a storm,Mi tía habla hasta por los codos; puede pasar horas contando historias.,My aunt talks up a storm; she can spend hours telling stories. ,,,,,,,,,,,,Mi tía habla hasta por los codos; puede pasar horas contando historias.
no pegar ojo,to not paste an eye,to not sleep a wink,Estaba tan nerviosa por la entrevista que no pegué ojo en toda la noche.,I was so nervous about the interview that I didn't sleep a wink all night. ,,,,,,,,,,,,Estaba tan nerviosa por la entrevista que no pegué ojo en toda la noche.
no tener ni pies ni cabeza,to not have either feet or head,to make no sense,"Tu argumento no tiene ni pies ni cabeza, deberías organizar mejor tus ideas.","Your argument doesn't make any sense, you should organize your ideas better. ",,,,,,,,,,,,"Tu argumento no tiene ni pies ni cabeza, deberías organizar mejor tus ideas."
no tener pelos en la lengua,to not have hairs on the tongue,to be outspoken,"Ella no tiene pelos en la lengua, siempre dice lo que piensa, sin importar las consecuencias.","She doesn't mince words, she always speaks her mind, no matter the consequences. ",,,,,,,,,,,,"Ella no tiene pelos en la lengua, siempre dice lo que piensa, sin importar las consecuencias."
quemarse las pestañas,to singe one’s eyelashes,to burn the midnight oil,Me quemé las pestañas estudiando para el examen final de física.,I burned the midnight oil studying for the final physics exam.,,,,,,,,,,,,Me quemé las pestañas estudiando para el examen final de física.
ser uña y carne,to be nail and flesh,to be joined at the hip,Esos dos son uña y carne; siempre se ven juntos.,"Those two are joined at the hip; they are always seen together. 
",,,,,,,,,,,,Esos dos son uña y carne; siempre se ven juntos.
tomar el pelo,to grab by the hair,to pull someone’s leg,"Mi amigo me dijo que conoció a Kim Kardashian, pero creo que me estaba tomando el pelo.","My friend told me he met Kim Kardashian, but I think he was pulling a leg. ",,,,,,,,,,,,"Mi amigo me dijo que conoció a Kim Kardashian, pero creo que me estaba tomando el pelo."
no ahogarse en un vaso de agua,to not drown yourself in a glass of water,to not sweat the small stuff,No te ahogues en un vaso de agua. El estrés es malo para la salud.,Don't drown in a glass of water. Don’t sweat the small stuff. ,,,,,,,,,,,,No te ahogues en un vaso de agua. El estrés es malo para la salud.
"Al mal tiempo, buena cara.","To bad weather, good face.","When life gives you lemons, make lemonade.","Mi novia me dejó por su ex. - Al mal tiempo, buena cara.","My girlfriend left me because of her ex. - when life makes you lemons, make lemonade. ",,,,,,,,,,,,"Mi novia me dejó por su ex. - Al mal tiempo, buena cara."
buscarle tres pies al gato,to look for three feet on the cat,to make something more complicated than necessary,"Estás complicando demasiado la situación, estás buscándole tres pies al gato.","You're overcomplicating the situation, you're making something more complicated than it really is. ",,,,,,,,,,,,"Estás complicando demasiado la situación, estás buscándole tres pies al gato."
Camarón que se duerme se lo lleva la corriente.,A shrimp that falls asleep is taken away by the current.,Pay attention or the opportunities will pass you by.,"Debes actuar rápido y decidido, recuerda que camarón que se duerme se lo lleva la corriente.","You must act fast and decisive, remember that opportunities will pass you by.",,,,,,,,,,,,"Debes actuar rápido y decidido, recuerda que camarón que se duerme se lo lleva la corriente."
consultar con la almohada,to consult the pillow,to sleep on it,No sé qué decisión tomar respecto al nuevo contrato; voy a consultarlo con la almohada.,I don't know what decision to make about the new contract; I'm going to sleep on it. ,,,,,,,,,,,,No sé qué decisión tomar respecto al nuevo contrato; voy a consultarlo con la almohada.
"En casa del herrero, cuchillo de palo.","In the house of the blacksmith, knife of wood.","When you’re an expert in something, you don’t apply it to your own life.","Es irónico que el mecánico tenga su coche siempre averiado, en casa del herrero, cuchillo de palo.","It is ironic that the mechanic always has his car broken down, when you’re an expert in something, you don’t apply it to your own life.",,,,,,,,,,,,"Es irónico que el mecánico tenga su coche siempre averiado, en casa del herrero, cuchillo de palo."
"Cuando se cierra una puerta, se abre una ventana.","When a door closes, a window opens.","Where one door closes, another one opens.","Perdí mi trabajo, pero luego me ofrecieron uno mejor, justo lo que dicen: cuando se cierra una puerta, se abre una ventana.","I lost my job, but then they offered me a better one, just what they say: when a door closes, a window opens. ",,,,,,,,,,,,"Perdí mi trabajo, pero luego me ofrecieron uno mejor, justo lo que dicen: cuando se cierra una puerta, se abre una ventana."
Las palabras se las lleva el viento.,Words are taken by the wind.,Actions speak louder than words.,"Puedes prometerme lo que sea, pero recuerda que las palabras se las lleva el viento.","You can promise me anything, but remember that actions speak louder than words.",,,,,,,,,,,,"Puedes prometerme lo que sea, pero recuerda que las palabras se las lleva el viento."
Más vale pájaro en mano que ciento volando.,One bird in the hand is more valuable than one hundred flying birds.,Focus on what you have instead of what you don’t have.,Decidí aceptar la oferta de trabajo actual en lugar de esperar una mejor: más vale pájaro en mano que ciento volando.,I decided to accept the current job offer rather than wait for a better one: better to focus on what you have instead of what you don’t. ,,,,,,,,,,,,Decidí aceptar la oferta de trabajo actual en lugar de esperar una mejor: más vale pájaro en mano que ciento volando.
meterse en camisa de once varas,to get into a 30-foot-long shirt,to be out of your depth,Se metió en camisa de once varas al tratar de organizar una boda en un mes.,He took on more than he could handle when trying to organize a wedding in a month. ,,,,,,,,,,,,Se metió en camisa de once varas al tratar de organizar una boda en un mes.
Un clavo saca a otro clavo.,One nail pulls out another nail.,A new person will make you forget the old one.,No te preocupes por esa ruptura amorosa; un clavo saca a otro clavo.,Don't worry about that breakup; a new person will make you forget the old one. ,,,,,,,,,,,,No te preocupes por esa ruptura amorosa; un clavo saca a otro clavo.
"Zapatero, a tus zapatos.",Shoemaker to your shoes.,Focus on doing what you’re good at.,"Él intentó darme consejos financieros, pero realmente debería seguir su propio campo—zapatero, a tus zapatos.","He tried to give me financial advice, but he really should focus on doing what he is good at.",,,,,,,,,,,,"Él intentó darme consejos financieros, pero realmente debería seguir su propio campo—zapatero, a tus zapatos."
despedirse a la francesa,to say goodbye the French style,to leave without saying goodbye,"No me gusta hacer mucho ruido al salir, prefiero despedirme a la francesa.","I don't like to make a lot of noise when I leave, I prefer to leave without saying goodbye.",,,,,,,,,,,,"No me gusta hacer mucho ruido al salir, prefiero despedirme a la francesa."
"De tal palo, tal astilla.","As such the stick, such the splinter.",The apple doesn’t fall far from the tree.,"El hijo de Roberto tuvo una aventura. - De tal palo, tal astilla.",Roberto's son also had an affair. - an apple doesn’t fall far from the tree. ,,,,,,,,,,,,"El hijo de Roberto tuvo una aventura. - De tal palo, tal astilla."
Dios los cría y ellos se juntan.,God raises them and they come together.,Birds of a feather flock together.,Mira a esos tramposos jugando cartas juntos; Dios los cría y ellos se juntan.,Look at those cheaters playing cards together; birds of a feather flock together.,,,,,,,,,,,,Mira a esos tramposos jugando cartas juntos; Dios los cría y ellos se juntan.
dormirse en los laureles,to fall asleep in the laurels,to rest on your laurels,"Después de ganar el premio, se durmió en los laureles y dejó de esforzarse.","After winning the prize, he rested on his laurels and stopped trying. ",,,,,,,,,,,,"Después de ganar el premio, se durmió en los laureles y dejó de esforzarse."
echar agua al mar,to throw water to the sea,to do something pointless,Hacer más tareas de las necesarias es como echar agua al mar.,Doing more tasks than necessary is like pouring water into the sea. ,,,,,,,,,,,,Hacer más tareas de las necesarias es como echar agua al mar.
echarle leña al fuego,to add wood to the fire,to make matters worse,Discutir sobre política solo echa leña al fuego en las reuniones familiares.,Arguing about politics only adds fuel to the fire at family gatherings. ,,,,,,,,,,,,Discutir sobre política solo echa leña al fuego en las reuniones familiares.
faltarle un tornillo,to be missing a screw,to have a screw loose,Debe faltarle un tornillo para pensar que puede correr un maratón sin entrenamiento.,You must be missing a screw to think you can run a marathon without training. ,,,,,,,,,,,,Debe faltarle un tornillo para pensar que puede correr un maratón sin entrenamiento.
irse por las ramas,to go along the branches,to beat around the bush,Los políticos tienden a irse por las ramas cuando tienen que abordar temas polémicos.,Politicians tend to beat around the bush when it comes to tackling contentious issues. ,,,,,,,,,,,,Los políticos tienden a irse por las ramas cuando tienen que abordar temas polémicos.
subirse al carro,to get in the car,to jump on the bandwagon,"Después de ver los beneficios, todos se quisieron subir al carro de la inversión tecnológica.","After seeing the benefits, everyone wanted to jump on the technology investment bandwagon. ",,,,,,,,,,,,"Después de ver los beneficios, todos se quisieron subir al carro de la inversión tecnológica."
ver todo color de rosa,to see everything in pink color,to see through rose-colored,"Ella siempre es optimista, ve todo color de rosa.","She's always optimistic, she sees everything in roses. ",,,,,,,,,,,,"Ella siempre es optimista, ve todo color de rosa."
estar como unas castañuelas,to be like a pair of castanets,to be happy as a clam,Estaba como unas castañuelas después de recibir la noticia de su promoción.,I was happy as a clam after receiving the news of his promotion. ,,,,,,,,,,,,Estaba como unas castañuelas después de recibir la noticia de su promoción.
estar de mala leche,to be of bad milk,to be in a bad mood,"Está de mala leche hoy, mejor no le hables mucho.","He's in a bad mood today, you better not talk to him too much. ",,,,,,,,,,,,"Está de mala leche hoy, mejor no le hables mucho."
estar frito,to be fried,to be done for,"Después de la maratón, estaba frito; no podía mover ni un músculo.","After the marathon, I was done; I couldn't move a muscle. ",,,,,,,,,,,,"Después de la maratón, estaba frito; no podía mover ni un músculo."
estar hecho polvo,to have been turned in to dust,to be exhausted,¿Quieres ir al gimnasio? - No. Estoy hecho polvo.,Do you want to go to the gym? - No. I'm exhausted.,,,,,,,,,,,,¿Quieres ir al gimnasio? - No. Estoy hecho polvo.
estar hecho un ají,to have become a chile,to be very angry,"Cuando se enteró de la traición, estaba hecho un ají.","By the time he heard about the betrayal, he was extremely angry. ",,,,,,,,,,,,"Cuando se enteró de la traición, estaba hecho un ají."
estar loco de contento,to be crazy with happiness,to be over the moon,Estaba loco de contento cuando se enteró que iba a ser padre.,He was over the moon when he found out he was going to be a father. ,,,,,,,,,,,,Estaba loco de contento cuando se enteró que iba a ser padre.
estar de mala uva,to be bad grapes,to be in a bad mood,"Evita hablar con el jefe hoy, está de mala uva por los resultados de las ventas.","Avoid talking to the boss today, he's in a bad mood about the sales results. ",,,,,,,,,,,,"Evita hablar con el jefe hoy, está de mala uva por los resultados de las ventas."
quedarse de piedra,to stay like a stone,to be shocked,Me quedé de piedra cuando anunciaron su compromiso.,I was stunned when they announced their engagement.,,,,,,,,,,,,Me quedé de piedra cuando anunciaron su compromiso.
Cada loco con su tema.,Each crazy with his theme.,To each their own.,"No es el tipo de carro que yo me compraría, pero cada loco con su tema.","It's not the kind of car I'd buy, but to each their own. ",,,,,,,,,,,,"No es el tipo de carro que yo me compraría, pero cada loco con su tema."
dar en el clavo,to hit on the nail,to hit the nail on the head,"Cuando Jorge sugirió que el problema estaba en el software y no en el hardware, realmente dio en el clavo.","When Jorge suggested that the problem was with the software and not the hardware, he really hit the nail on the head. ",,,,,,,,,,,,"Cuando Jorge sugirió que el problema estaba en el software y no en el hardware, realmente dio en el clavo."
llover a cántaros,to rain in pitchers,to rain cats and dogs,Estábamos en el picnic cuando empezó a llover a cántaros; tuvimos que empacar todo rápidamente y buscar refugio.,We were at the picnic when it started raining cats and dogs; we had to pack everything up quickly and seek shelter. ,,,,,,,,,,,,Estábamos en el picnic cuando empezó a llover a cántaros; tuvimos que empacar todo rápidamente y buscar refugio.
meter la pata,to put the paw,to mess up,Metí la pata al decirle a Sara que la fiesta era sorpresa; no sabía que era un secreto.,I screwed up by telling Sara that the party was a surprise; I didn't know it was a secret. ,,,,,,,,,,,,Metí la pata al decirle a Sara que la fiesta era sorpresa; no sabía que era un secreto.
matar dos pájaros de un tiro,to kill two birds with one shot,to kill two birds with one stone,"Al estudiar español, estoy matando dos pájaros de un tiro: mejorando mi curriculum y preparándome para el viaje a México.","By studying Spanish, I'm killing two birds with one stone: improving my resume and preparing for the trip to Mexico. ",,,,,,,,,,,,"Al estudiar español, estoy matando dos pájaros de un tiro: mejorando mi curriculum y preparándome para el viaje a México."
perder los estribos,to lose the stirrup,to fly off the handle,Perdió los estribos cuando vio que el perro había destrozado los cojines del sofá.,He flew off the handle when he saw that the dog had smashed the couch cushions. ,,,,,,,,,,,,Perdió los estribos cuando vio que el perro había destrozado los cojines del sofá.
tirar la casa por la ventana,to throw the house out the window,to spare no expense,El papá de la cumpleañera tiró la casa por la ventana con esta fiesta.,The birthday girl's dad spared no expense with this party.,,,,,,,,,,,,El papá de la cumpleañera tiró la casa por la ventana con esta fiesta.
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,